case_uuid,violation_uuid,state_name,citation_sequence,employer_name,employer_dba_name,employer_city,violation_category,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
5331a96c-67d6-49e7-8a3b-c59b03460125,980f481d-d975-4d15-ba49-106d9fa913e6,Indiana,1,Best Buy Stores LP,,,,2010-01-19 00:00:00,,,748.5,,
b6746ef1-5285-4200-8336-70cd25447d88,394f29a5-40b2-41ac-8496-dbb5cf2647c5,Indiana,1,Comfort Keepers,,,,2010-01-19 00:00:00,,,0.0,,
b8343f9c-22e3-496e-994a-4b735fbf71ea,441c34a2-a0b0-446c-9a3c-40ef2b4cfbe6,Indiana,1,University Place Conferene Center & Hotel,,,,2010-01-19 00:00:00,,,660.0,,
f9a1732f-6765-44b4-b91b-ae3462b894b8,e4130484-9eee-4619-b9c4-4e0b97baf306,Indiana,1,Boezman Oil Co,,,,2010-01-20 00:00:00,,,640.0,,
59d3f1ae-3a0c-4287-85c5-7fe2ec78facd,4f46b8f3-833e-4d93-ac82-a88eca6bc5c0,Indiana,1,"Allsource Telecom, LLC",,,,2010-01-20 00:00:00,,,500.0,,
f5d46895-2094-4df8-b2ec-7c64439542d9,8564947c-fb03-4d99-a3fe-6b6e4fe17803,Indiana,1,Schilli Specialized,,,,2010-01-21 00:00:00,,,1335.17,1335.17,
1fb19316-3fda-4968-9be5-9c7567b14cd3,9bcaa6d8-7e4f-4d8b-915b-f29ae46032c7,Indiana,1,Royal on the Eastside,,,,2010-01-21 00:00:00,,,0.0,,
648718a4-4d2e-4fc3-8ac1-664d4a26cb3f,4baaafef-ae53-483a-aefe-39878721249d,Indiana,1,Koppers Engineering & Contruction Company Inc.,,,,2010-01-21 00:00:00,,,0.0,,
45bca479-a277-49d1-95f4-792f111944fe,86b8c240-e61c-4f64-9a91-ad810eb14c05,Indiana,1,Mercury Investigation,,,,2010-01-22 00:00:00,,,1400.0,,
f11d4322-ea7c-4b63-8025-7040c683d741,3b8d6d97-6bbb-4b7c-ae18-2bd4a0ab2225,Indiana,1,Rebirth Chrisitian Academy,,,,2010-01-22 00:00:00,,,759.6,,
ad564bf4-66a5-4339-bcb4-3dfb50735e20,794e2808-064a-4c2c-8e1b-1fe46e7efefb,Indiana,1,Home Instead,,,,2010-01-22 00:00:00,,,0.0,,
3aa01b30-80bb-4891-b410-3e7ca768222a,623d6c01-b75c-46dd-9758-7f0533fec2d0,Indiana,1,Paco Manufactoring,,,,2010-01-25 00:00:00,,,4409.6,,
216b53cf-316a-4553-bd34-adef27895711,4879cadc-7bf0-4164-adc0-1eef6b897680,Indiana,1,Bridal Ware House,,,,2010-01-25 00:00:00,,,330.0,,
642e04aa-fa59-4fcd-88b8-b0280b983c4d,2f028ffc-b630-480a-a88b-118cc93d9d77,Indiana,1,Midwest Detective & Security,,,,2010-01-25 00:00:00,2010-01-22,,768.0,768.0,768.0
159d0c15-56a6-49b9-ab9b-6cbade79fb46,5b24b4fe-56e1-45b6-83b1-136e927b0864,Indiana,1,Family Mobile Medical Services,,,,2010-01-25 00:00:00,,,2166.53,,
17c99ce9-73fc-4542-8057-354b8f5274a2,4c7a58d8-9724-4708-ac77-b6063ec5eb64,Indiana,1,Davita Inc.,,,,2010-01-25 00:00:00,,,2132.18,,
e0ca82e4-7d76-460f-b71e-f669cda918ec,d98fd7fd-cd63-4304-9d70-ffba0b305f19,Indiana,1,Circle City Kids II LLC,,,,2010-01-25 00:00:00,,,299.8,,
c738943c-644a-4ddc-a784-1edb643fe4bb,d191eb20-7fd2-44e3-a692-6610ccdbaca5,Indiana,1,Mobelwerks,,,,2010-01-26 00:00:00,,,2200.0,,
1b2508f4-4bad-4d5b-aaa6-953b6d99c820,9e65a736-34d4-47ab-b597-eba5b504cbd4,Indiana,1,"Fremont Plastics, Inc.",,,,2010-01-26 00:00:00,2010-05-28,,988.8,988.8,693.34
ecde9fc7-b53d-4e64-9c07-a5b78157465d,86ac52e0-587a-4c70-97e0-66fad47ec358,Indiana,1,Boondock's BBQ & Chicken,,,,2010-01-26 00:00:00,,,150.39,,
d269272a-6e95-426f-bbd2-013c474c27a4,aec235f9-01a4-4dfc-9947-c2e25cf59be0,Indiana,1,GFG Management Corporation,,,,2010-01-27 00:00:00,,,882.0,,
f85475fc-9d9b-4d8b-95cc-2327840f706a,e5a43f65-f846-4ed6-8c73-c354e6bf75e6,Indiana,1,Wheelers Towing,,,,2010-01-28 00:00:00,2010-05-13,,225.0,225.0,225.0
b85448e3-cb19-4e34-9e95-5eab8593543c,0b5be458-4b25-4aae-89bd-e7a0e8ac73bd,Indiana,1,Indy Vision Communications Inc.,,,,2010-01-21 00:00:00,,,40832.34,,
5db0edec-c97e-4044-9cf9-ea50c5d74ca3,b4a83011-08e2-4b0a-8692-310721b836e3,Indiana,1,Able Hands Homecare,,,,2010-01-25 00:00:00,,,4187.5,,
723826c6-f323-4295-a0dc-78a336a63ab2,c7a59979-a872-47da-bf8c-5cd3d3e2aaa5,Indiana,1,Edward Hines Lumber Co.,,,,2010-01-25 00:00:00,,,1307.25,,
bb17a60d-aa6b-4db8-8c8b-52822bd3e3be,d79f3d58-cafb-4ab1-8c27-27210e06e542,Indiana,1,"Junior Achievement of Central Indiana, Inc.",,,,2010-01-26 00:00:00,,,6000.0,,
639b6205-489e-4c03-8c7f-b0d7ac04aecf,8b03f63f-a439-4958-ab8a-b4a631356d2f,Indiana,1,Mikolajewski & Associates,,,,2010-01-14 00:00:00,,,1981.19,,
a5874a00-b010-41e8-b441-792a10d7b143,f1a8f6ca-2291-4f67-aa03-96a69cf1611b,Indiana,1,Aaron Gustin,,,,2010-02-01 00:00:00,2010-05-17,,196.0,196.0,196.0
01b25ef6-3d65-46fe-baf2-af02c51608d3,456d7e5d-b607-4feb-8fbf-65ecfd797ce5,Indiana,1,Timothy Golden,,,,2010-02-01 00:00:00,2010-05-24,,1275.0,,448.5
6d929a48-6f01-46f4-a4fc-193029febc65,78298632-71ea-4924-b6d5-a5bed2fe4f26,Indiana,1,Mobile Health Care,,,,2010-02-02 00:00:00,,,4044.07,,
12b00879-3349-44ef-b479-73883ecbd2ca,e68407da-2f8e-4de5-960b-bfe8d5d6a59b,Indiana,1,Julie Greenwood,,,,2010-02-02 00:00:00,2009-11-04,,196.0,196.0,210.0
0e15c9ad-4858-41f7-beb7-dcf1681d2854,82e4d96c-743e-4514-a101-6303eeec15aa,Indiana,1,Kidney & Hypertension,,,,2010-02-02 00:00:00,2010-06-11,,2622.5,2622.5,904.35
6faccbdf-da48-40bd-b572-a031cb5f108f,0aa490fe-b07f-460f-8305-db0c6a56c707,Indiana,1,Schilli Leasing Inc.,,,,2010-02-02 00:00:00,,,3450.0,,
1dde495b-7190-4271-80b4-bd7fd0a74b22,e8f36e10-81b6-4184-8b02-e30daaee62e8,Indiana,1,Veteran's Construction,,,,2010-02-02 00:00:00,,,1919.0,,
8b328d4b-e0fd-4c0c-b400-0146ff0c0e35,3fe6d2ab-2ce7-4060-9f61-e81bbb148b1e,Indiana,1,Veteran's Construction,,,,2010-02-02 00:00:00,,,1919.0,,
e6067644-ad45-458a-a955-87bc72f2c900,560333bc-be1e-4bc0-8b0f-6d565398d68b,Indiana,1,Mid-States Fiberglass Inc.,,,,2010-02-01 00:00:00,,,2925.0,,
04793ab0-a621-4701-85ed-8e2cbf979939,7b22bcbf-50c0-4fb0-b117-999e9bfa0067,Indiana,1,Egg Innovations,,,,2010-02-01 00:00:00,,,0.0,,
c57d9a8f-6723-402b-b263-e2311323f8cd,d15c0ad9-4fe1-4d30-a481-cfbc82f3d7ab,Indiana,1,"Shree Ambe, Inc.",,,,2010-02-03 00:00:00,,,1394.0,1394.0,
7531eb3c-c947-4218-9748-ad7a6fb539f0,a30f3c07-75b0-4a86-a29d-6bc10b271556,Indiana,1,The Children's House,,,,2010-02-03 00:00:00,2010-06-11,,77.94,77.94,77.94
9aaa437d-2e9b-406f-beb8-36c6e52ac1d0,a2f461a6-b080-42cd-9347-a8ecb117bf01,Indiana,1,An Island LLC,,,,2010-02-03 00:00:00,,,5538.46,5538.46,
f3375c9a-4252-4356-93d2-2d339d991927,db9faa3b-ce51-42e6-acd3-11d3df6ac5e6,Indiana,1,Wilson Engineering & Surveying,,,,2010-02-03 00:00:00,,,300.0,,
3a0ba4d1-0b9e-4924-95d7-01361686e709,baa6b97c-ad7f-43bb-ae21-ddce1045f6b2,Indiana,1,Forest River Inc.,,,,2010-02-03 00:00:00,,,553.14,553.14,
17286834-8e81-4d48-b594-0a4849fcca4a,7765a225-a079-4dcd-b781-efd865b8186c,Indiana,1,The Furniture Gallery,,,,2010-01-29 00:00:00,,,1000.0,,
54024715-52ef-4e59-b90e-fc664b29b891,049ccb5d-2e2f-4fff-87e8-834f6e913c2b,Indiana,1,"Fort Wayne Junk Cars, Inc.",,,,2010-02-03 00:00:00,,,4600.5,,
2e6cc54a-c961-44cf-84c3-be673ea91620,caf4cb44-e71b-404a-a458-455b11e294c2,Indiana,1,"Urban Ministries Center, Inc.",,,,2010-02-05 00:00:00,,,4000.0,,
3b8b11b1-318d-496b-908c-f0a5e0bdee99,552da857-d838-4ac2-bcc2-4b75276604d5,Indiana,1,Veteran's Construction,,,,2010-02-04 00:00:00,2010-03-15,,1396.5,1396.5,1396.5
2c6cc7cd-f6e1-4a80-a360-373329fef296,74ec92c0-1221-4847-a34a-3db3b0101877,Indiana,1,HP Auto & Truck Parts,,,,2010-02-05 00:00:00,,,203.0,,
fd70d8c9-117e-4553-8c31-fdcb43fc4179,9e027698-814d-4d53-8aff-6705949f0e6f,Indiana,1,Trejos Gyros,,,,2010-02-05 00:00:00,,,954.25,,
